Account Solana;Token Account Solana;HolderAddress BSC;Balance;Balance Decimals;Public Tag;Owner;
;;0x995c0c32bd0a03a38c043a026ce863c55004823f;6.674;6.673.820.000.000.000.000.000;;;
;;0x69dac04f36658ea93136dbe8df29d51311620d9b;6.621;6.621.150.000.000.000.000.000;;;
;;0xfdc3b55e5406dc5defad4a90639689ec0d2a8ad3;6.600;6.599.530.000.000.000.000.000;;;
;;0x2c3a018b2781f82754a6e60d24ec0e8cce1e7025;6.372;6.372.410.000.000.000.000.000;;;
;;0xe777b14d5e7b9b99b141fd312629c672e08aca4d;6.262;6.261.990.000.000.000.000.000;;;
;;0x375221495fd3da3cb2c8f37de49481dcf0843938;6.256;6.255.860.000.000.000.000.000;;;
;;0x7f1678422dff590758dde54593e89d74b81119c4;6.239;6.238.670.000.000.000.000.000;;;
;;0x8a759ab8f1ecbaba32e123e50b214a1021add97a;6.213;6.213.400.000.000.000.000.000;;;
;;0xd3339c7cc75694fa918682c815abf0ecfca6b0b0;6.179;6.179.250.000.000.000.000.000;;;
;;0xbd461824b4426760daa88ce58049930b2765e009;6.178;6.178.080.000.000.000.000.000;;;
;;0xa89d191876ab26f000d6727aea2d94800c7557ea;6.036;6.036.430.000.000.000.000.000;;;
;;0x19b966bc8e023bfefb02f2b73edf9534c236ea35;6.000;6.000.000.000.000.000.000.000;;;
;;0xc068f731dc5d4f7bc5e0d76e8db6e22cc2eb8a83;5.970;5.969.880.000.000.000.000.000;;;
;;0xfc03c039c2532d34f9a14cd7460dfff7d53a2615;5.940;5.940.190.000.000.000.000.000;;;
;;0x093725845689797d7ffd194ddb4f04ab134aedf1;5.864;5.863.930.000.000.000.000.000;;;
;;0xb01f8f528702d411d24c9bb8cc0e2fff779ec013;5.848;5.847.740.000.000.000.000.000;;;
;;0xaab1606a7f958663ff66b5162734af34cbcb8d70;5.847;5.846.640.000.000.000.000.000;;;
;;0xacf687aacf3f2fb895aefa670b13cea6107bef61;5.804;5.803.590.000.000.000.000.000;;;
;;0x29c22f8a27cc4130a509721b0478fcbd77d3fd1b;5.799;5.798.960.000.000.000.000.000;;;
;;0x89b974c8108eb81f5974ca2fa9468b7ef74978c1;5.782;5.781.950.000.000.000.000.000;;;
;;0x1d5768b89e0d86c596a9069b8baff943e365f6ae;5.737;5.736.670.000.000.000.000.000;;;
;;0x548c280a998a5d4ab4e0efd482cd931436c3bf38;5.723;5.722.980.000.000.000.000.000;;;
;;0xc631a97e154bb5e005df7f04eb2bc9977c94139a;5.661;5.660.610.000.000.000.000.000;;;
;;0xa1a3091554a1fb848736b279f90381f639676940;5.584;5.583.710.000.000.000.000.000;;;
;;0xbf9f33d92f08c8d66f58defdcd3508d24cd2d0fb;5.506;5.505.810.000.000.000.000.000;;;
;;0xf38ccc8b1fcd3703ab6b4e24471453b3dbda6004;5.458;5.457.690.000.000.000.000.000;;;
